Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,42.9375,42.9375,41.28125,41.8125,16.968461990356445,4387600
2000-01-04,41.46875,42.0625,41.25,41.8125,16.968461990356445,3702400
2000-01-05,41.53125,43.28125,41.53125,42.5625,17.272829055786133,5567600
2000-01-06,42.65625,44.59375,42.65625,44.375,18.008392333984375,4353400
2000-01-07,45.0,45.4375,44.5,45.15625,18.325435638427734,4487400
2000-01-10,45.03125,45.03125,43.84375,43.9375,17.830835342407227,2104800
2000-01-11,43.9375,44.4375,43.46875,43.53125,17.665977478027344,2791200
2000-01-12,43.53125,43.8125,42.9375,43.375,17.60256576538086,2992600
2000-01-13,43.25,44.625,43.0625,43.78125,17.76742935180664,3253400
2000-01-14,42.90625,43.71875,42.78125,43.5,17.65329360961914,3673000
2000-01-18,43.75,44.75,43.46875,44.65625,18.122529983520508,4317400
2000-01-19,44.5,44.5,43.875,43.96875,17.843524932861328,5027000
2000-01-20,44.09375,44.09375,43.40625,43.75,17.754745483398438,3419800
2000-01-21,43.9375,44.9375,43.90625,44.28125,17.97034454345703,3947800
2000-01-24,44.75,45.1875,43.96875,44.40625,18.02107048034668,3536600
2000-01-25,44.40625,45.25,43.8125,44.28125,17.97034454345703,3854600
2000-01-26,44.625,44.875,43.25,43.875,17.805477142333984,2681000
2000-01-27,43.65625,43.8125,41.78125,42.15625,17.10797119140625,3550800
2000-01-28,41.78125,41.84375,40.9375,41.28125,16.75287437438965,4066000
2000-01-31,41.03125,41.96875,40.375,41.8125,16.968461990356445,3660600
2000-02-01,41.6875,42.21875,41.25,41.59375,16.87969970703125,2611600
2000-02-02,41.34375,41.96875,41.21875,41.3125,16.765560150146484,3418800
2000-02-03,41.0625,41.25,40.3125,40.71875,16.524593353271484,3512800
2000-02-04,40.625,40.625,39.1875,39.28125,15.9412260055542,4224200
2000-02-07,39.5625,40.0,39.21875,39.53125,16.042678833007812,3135600
2000-02-08,40.0625,40.34375,39.15625,39.15625,15.890506744384766,3567400
2000-02-09,39.21875,39.34375,37.46875,37.5,15.218355178833008,4802400
2000-02-10,37.78125,38.71875,37.4375,38.40625,15.58613395690918,3832600
2000-02-11,38.6875,38.8125,36.09375,37.0,15.015446662902832,5019800
2000-02-14,37.09375,37.71875,36.8125,36.90625,14.97740364074707,5039800
2000-02-15,37.21875,38.84375,37.21875,38.75,15.725631713867188,6143400
2000-02-16,38.875,39.46875,38.65625,38.90625,15.922593116760254,4749200
2000-02-17,39.0625,39.09375,38.28125,38.875,15.909790992736816,3735800
2000-02-18,38.75,38.875,37.90625,38.09375,15.590062141418457,3570400
2000-02-22,37.53125,38.09375,37.125,37.84375,15.487765312194824,3526400
2000-02-23,37.5,37.53125,36.40625,36.625,14.988972663879395,3770000
2000-02-24,36.65625,36.78125,35.6875,35.71875,14.618091583251953,5415600
2000-02-25,36.0,36.375,34.96875,35.53125,14.541342735290527,6453400
2000-02-28,35.53125,37.46875,35.4375,37.28125,15.257548332214355,5097800
2000-02-29,37.28125,37.71875,36.71875,37.34375,15.283120155334473,4296600
2000-03-01,37.28125,37.8125,36.3125,37.625,15.398228645324707,4633400
2000-03-02,37.6875,38.71875,37.46875,37.84375,15.487765312194824,4050400
2000-03-03,37.28125,37.6875,36.78125,37.28125,15.257548332214355,4637600
2000-03-06,37.21875,37.375,36.84375,37.0,15.142446517944336,2814400
2000-03-07,37.28125,41.0,37.25,40.5,16.574844360351562,5600000
2000-03-08,40.0625,42.1875,39.875,40.53125,16.587627410888672,7262800
2000-03-09,40.15625,42.0,39.875,41.625,17.035249710083008,4307200
2000-03-10,41.78125,42.40625,39.71875,40.1875,16.446943283081055,5384600
2000-03-13,40.46875,41.875,39.875,39.90625,16.33184814453125,4170800
2000-03-14,40.0,41.5625,39.65625,41.4375,16.958518981933594,4209400
2000-03-15,41.4375,42.0,40.4375,41.96875,17.17593002319336,3756200
2000-03-16,41.59375,43.5,40.84375,42.0625,17.214303970336914,5194400
2000-03-17,41.96875,42.0,41.15625,41.65625,17.04803466796875,4251000
2000-03-20,41.78125,42.03125,40.84375,41.46875,16.9713134765625,2280400
2000-03-21,41.5,43.25,41.5,43.0,17.597972869873047,3546000
2000-03-22,42.25,42.875,41.21875,42.0,17.188718795776367,2794200
2000-03-23,41.5,42.90625,41.125,42.3125,17.316612243652344,4197800
2000-03-24,42.375,42.96875,42.375,42.8125,17.521240234375,2815200
2000-03-27,42.09375,42.9375,41.21875,42.28125,17.303821563720703,3774200
2000-03-28,41.78125,42.875,41.625,42.4375,17.367769241333008,3260800
2000-03-29,42.40625,44.5,42.34375,44.25,18.10954475402832,5306200
2000-03-30,44.59375,46.125,44.53125,46.09375,18.86410903930664,7823200
2000-03-31,46.125,47.125,45.9375,46.21875,18.915260314941406,6282000
2000-04-03,46.3125,46.875,45.75,46.15625,18.88969612121582,3577200
2000-04-04,46.28125,46.625,44.6875,44.90625,18.37812042236328,7643400
2000-04-05,44.8125,45.34375,43.6875,43.75,17.9049129486084,2959200
2000-04-06,44.0,44.90625,43.65625,44.46875,18.19906997680664,2299000
2000-04-07,44.46875,44.46875,43.15625,43.21875,17.6875,2876000
2000-04-10,42.71875,43.71875,42.5625,43.03125,17.61075782775879,2417600
2000-04-11,43.28125,44.75,43.28125,44.34375,18.14791488647461,3443400
2000-04-12,44.65625,45.21875,44.21875,44.5,18.21185874938965,2795400
2000-04-13,44.46875,44.46875,43.46875,43.46875,17.789813995361328,5013200
2000-04-14,43.5,43.53125,42.71875,42.84375,17.53403091430664,3769400
2000-04-17,42.5,42.84375,41.15625,41.46875,16.9713134765625,3983000
