Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,22.4375,22.5,21.875,22.0625,7.359935283660889,532500
2000-01-04,22.0,22.375,21.875,22.0625,7.359935283660889,887800
2000-01-05,22.125,23.0,22.125,22.875,7.63097620010376,532000
2000-01-06,22.875,23.0625,22.8125,22.9375,7.651826858520508,359000
2000-01-07,22.9375,23.1875,22.875,23.0625,7.693525791168213,378100
2000-01-10,23.0625,23.375,22.9375,23.125,7.714376449584961,407000
2000-01-11,23.0,23.4375,23.0,23.375,7.797773838043213,479900
2000-01-12,23.125,23.5,23.125,23.4375,7.8186235427856445,935600
2000-01-13,23.5625,23.5625,23.375,23.375,7.797773838043213,581400
2000-01-14,23.5625,23.5625,23.1875,23.25,7.756072998046875,835800
2000-01-18,23.125,23.25,22.8125,22.875,7.63097620010376,561300
2000-01-19,22.8125,23.0,22.5,22.8125,7.610128402709961,638200
2000-01-20,22.75,22.875,22.5625,22.75,7.589276313781738,410400
2000-01-21,22.75,23.0,22.5625,23.0,7.672679424285889,819800
2000-01-24,23.0,23.375,22.9375,23.125,7.714376449584961,556700
2000-01-25,23.0625,23.3125,22.6875,22.8125,7.610128402709961,673400
2000-01-26,22.8125,23.3125,22.8125,23.125,7.714376449584961,1349700
2000-01-27,23.125,23.25,23.0,23.125,7.714376449584961,808900
2000-01-28,23.125,23.1875,22.5,22.6875,7.568427562713623,909000
2000-01-31,22.75,23.0625,22.6875,22.75,7.589276313781738,523000
2000-02-01,22.8125,23.125,22.75,22.9375,7.651826858520508,289500
2000-02-02,22.875,23.125,22.8125,22.875,7.63097620010376,3666600
2000-02-03,22.75,23.125,22.6875,22.875,7.758159637451172,618100
2000-02-04,22.9375,22.9375,22.1875,22.3125,7.567387580871582,688000
2000-02-07,22.125,22.25,22.0,22.0,7.461399555206299,311400
2000-02-08,22.0,22.3125,22.0,22.125,7.503796100616455,202500
2000-02-09,22.125,22.375,22.125,22.3125,7.567387580871582,523800
2000-02-10,22.3125,22.375,21.875,22.0,7.461399555206299,439900
2000-02-11,22.0,22.1875,21.5625,21.6875,7.355414867401123,940600
2000-02-14,21.6875,21.75,21.5,21.625,7.3342156410217285,625700
2000-02-15,21.625,21.9375,21.5625,21.625,7.3342156410217285,392500
2000-02-16,21.625,21.875,21.4375,21.625,7.3342156410217285,460400
2000-02-17,21.5625,21.625,21.0,21.0,7.122249603271484,910200
2000-02-18,20.875,20.9375,20.4375,20.4375,6.931466102600098,1194200
2000-02-22,20.4375,20.5,19.875,20.0625,6.804290771484375,714900
2000-02-23,20.0,20.3125,20.0,20.125,6.825483798980713,503600
2000-02-24,20.125,20.125,19.375,19.5625,6.634711265563965,398500
2000-02-25,19.25,19.5,18.875,19.0,6.443934917449951,1887500
2000-02-28,19.0,19.3125,18.9375,19.1875,6.507526874542236,877100
2000-02-29,19.125,19.3125,18.5,18.5,6.27435827255249,822800
2000-03-01,19.75,19.75,18.875,19.0,6.443934917449951,880200
2000-03-02,19.1875,19.25,18.8125,18.9375,6.422739028930664,534300
2000-03-03,18.875,19.5,18.875,19.1875,6.507526874542236,820100
2000-03-06,19.0625,19.3125,18.375,18.5,6.27435827255249,1076700
2000-03-07,18.5,18.5,18.125,18.1875,6.168369293212891,712500
2000-03-08,18.0,18.375,18.0,18.1875,6.168369293212891,605300
2000-03-09,18.1875,18.5,18.0,18.5,6.27435827255249,392100
2000-03-10,18.5,18.5,18.1875,18.3125,6.210766315460205,264600
2000-03-13,18.1875,18.375,18.0,18.1875,6.168369293212891,384900
2000-03-14,18.1875,18.5,18.125,18.375,6.231966018676758,535700
2000-03-15,18.3125,19.375,18.3125,19.0625,6.465133190155029,614400
2000-03-16,18.9375,20.3125,18.9375,20.125,6.825483798980713,491300
2000-03-17,20.125,20.125,19.5,19.5,6.6135149002075195,812400
2000-03-20,19.5625,19.75,19.375,19.5625,6.634711265563965,575300
2000-03-21,19.5625,20.125,19.5625,19.8125,6.71950101852417,543800
2000-03-22,19.75,19.8125,19.25,19.5,6.6135149002075195,797400
2000-03-23,19.3125,19.875,19.1875,19.5,6.6135149002075195,524400
2000-03-24,19.5,20.0,19.4375,19.9375,6.761893272399902,546000
2000-03-27,20.0,20.25,19.9375,20.0625,6.804290771484375,319300
2000-03-28,19.8125,20.0625,19.625,19.8125,6.71950101852417,495200
2000-03-29,19.75,20.25,19.6875,20.125,6.825483798980713,499700
2000-03-30,20.375,20.6875,20.25,20.5625,6.973865985870361,449000
2000-03-31,20.375,20.875,20.1875,20.625,6.99506139755249,563100
2000-04-03,20.625,21.0625,20.5625,21.0625,7.143443584442139,676400
2000-04-04,21.0,21.6875,21.0,21.4375,7.270627498626709,495500
2000-04-05,21.5625,22.1875,21.4375,22.0,7.461399555206299,765000
2000-04-06,22.0625,22.1875,21.625,21.875,7.419007301330566,809900
2000-04-07,21.875,21.9375,21.5,21.625,7.3342156410217285,568600
2000-04-10,21.625,22.0625,21.5625,21.8125,7.39780855178833,974500
2000-04-11,21.6875,22.25,21.6875,22.25,7.546188831329346,750800
2000-04-12,22.5,23.25,22.375,23.0,7.800555229187012,750700
2000-04-13,23.125,24.5,23.0,24.375,8.266890525817871,761000
2000-04-14,24.125,25.0,24.0,24.1875,8.203303337097168,1194700
2000-04-17,24.0,24.875,23.875,24.8125,8.415271759033203,1449800
2000-04-18,25.0,25.625,25.0,25.1875,8.54245376586914,705800
2000-04-19,25.1875,25.1875,24.125,24.6875,8.372876167297363,391400
2000-04-20,24.75,24.8125,24.1875,24.4375,8.288090705871582,568900
2000-04-24,24.5,25.75,24.375,25.75,8.733226776123047,939500
2000-04-25,25.75,26.3125,25.5625,26.1875,8.881609916687012,867900
2000-04-26,25.875,26.875,25.875,26.75,9.072383880615234,427400
2000-04-27,26.5625,26.5625,25.625,25.8125,8.754426002502441,727800
2000-04-28,25.9375,25.9375,25.1875,25.4375,8.62724494934082,455900
2000-05-01,25.5,25.6875,25.1875,25.25,8.563655853271484,503300
2000-05-02,25.0625,25.125,24.5,25.0625,8.500057220458984,1164100
2000-05-03,24.4375,24.75,24.125,24.5,8.435507774353027,1272700
2000-05-04,24.5,24.8125,23.75,24.375,8.392459869384766,988300
2000-05-05,24.3125,24.3125,23.8125,23.9375,8.241827011108398,409600
2000-05-08,24.0625,25.0,23.75,24.4375,8.413985252380371,693500
2000-05-09,24.375,24.5625,24.1875,24.375,8.392459869384766,444700
2000-05-10,24.4375,24.8125,24.1875,24.375,8.392459869384766,346000
2000-05-11,24.0,24.5625,24.0,24.5625,8.457026481628418,431700
2000-05-12,24.5,24.5625,24.0,24.125,8.306387901306152,639400
2000-05-15,24.1875,24.8125,24.125,24.6875,8.500057220458984,908300
2000-05-16,24.9375,24.9375,24.25,24.5625,8.457026481628418,823600
2000-05-17,24.5,24.5,23.3125,23.75,8.177274703979492,338900
2000-05-18,23.9375,24.625,23.9375,24.4375,8.413985252380371,342700
2000-05-19,24.25,24.8125,24.125,24.75,8.521577835083008,788800
2000-05-22,24.625,25.3125,24.625,25.125,8.650693893432617,448500
2000-05-23,24.9375,25.1875,24.625,24.875,8.564618110656738,460600
2000-05-24,25.0625,25.625,24.8125,25.0625,8.629175186157227,516500
2000-05-25,24.9375,25.0,24.6875,25.0,8.607654571533203,424600
2000-05-26,25.25,25.375,25.0625,25.3125,8.715252876281738,464500
2000-05-30,25.3125,25.3125,24.5625,25.0625,8.629175186157227,815000
2000-05-31,25.125,25.5,24.9375,25.125,8.650693893432617,496300
2000-06-01,25.375,25.375,24.8125,25.125,8.650693893432617,478900
2000-06-02,25.75,25.75,24.5625,24.6875,8.500057220458984,347200
2000-06-05,24.5,24.5,23.6875,23.8125,8.1987943649292,390800
2000-06-06,23.875,24.5,23.8125,24.3125,8.370948791503906,379200
2000-06-07,24.5,24.6875,24.375,24.5,8.435507774353027,234300
2000-06-08,24.5625,24.5625,23.875,24.5,8.435507774353027,306100
2000-06-09,24.5,24.875,24.375,24.75,8.521577835083008,339300
2000-06-12,24.75,25.0,24.6875,24.9375,8.586137771606445,311700
2000-06-13,24.9375,25.5,24.9375,25.25,8.693732261657715,244100
2000-06-14,25.0625,25.125,24.625,24.6875,8.500057220458984,387400
2000-06-15,24.4375,25.375,24.4375,25.25,8.693732261657715,437700
2000-06-16,25.25,25.5,25.25,25.3125,8.715252876281738,611400
2000-06-19,25.3125,25.5,25.0,25.0,8.607654571533203,666800
2000-06-20,25.0,25.0625,24.625,24.875,8.564618110656738,309400
2000-06-21,24.9375,25.4375,24.75,24.75,8.521577835083008,439000
2000-06-22,24.6875,24.75,24.1875,24.625,8.478538513183594,449300
2000-06-23,24.375,24.75,24.0625,24.4375,8.413985252380371,584500
2000-06-26,24.375,25.375,24.3125,25.0,8.607654571533203,678700
2000-06-27,25.0625,25.125,24.125,24.375,8.392459869384766,504900
2000-06-28,24.25,25.125,23.625,25.0625,8.629175186157227,399800
2000-06-29,24.9375,25.1875,24.125,24.25,8.349425315856934,434100
2000-06-30,24.0625,25.125,23.25,23.375,8.0481595993042,890000
2000-07-03,23.5625,24.1875,23.5625,24.0625,8.284869194030762,250400
2000-07-05,24.25,24.8125,23.625,23.875,8.220314025878906,292500
2000-07-06,23.9375,24.25,23.75,24.0,8.263351440429688,269300
2000-07-07,23.875,24.375,23.875,24.3125,8.370948791503906,175300
2000-07-10,24.0625,24.6875,24.0625,24.4375,8.413985252380371,628300
2000-07-11,24.4375,24.8125,24.0625,24.8125,8.543097496032715,415800
2000-07-12,24.375,24.75,24.25,24.5625,8.457026481628418,283400
2000-07-13,24.4375,24.5,24.1875,24.3125,8.370948791503906,491300
2000-07-14,24.375,24.5,24.0,24.125,8.306387901306152,414300
2000-07-17,24.0625,24.5,24.0,24.3125,8.370948791503906,192400
2000-07-18,24.3125,24.75,24.1875,24.5625,8.457026481628418,273000
2000-07-19,24.8125,25.625,24.8125,25.4375,8.75828742980957,601900
2000-07-20,25.5,25.6875,25.25,25.3125,8.715252876281738,383100
2000-07-21,25.4375,25.4375,25.25,25.25,8.693732261657715,265800
2000-07-24,25.1875,25.1875,24.9375,25.0625,8.629175186157227,178300
2000-07-25,24.9375,25.3125,24.9375,25.1875,8.672210693359375,297900
2000-07-26,25.0625,25.375,24.75,24.875,8.564618110656738,767500
2000-07-27,25.0625,25.375,24.9375,25.1875,8.672210693359375,466600
2000-07-28,25.1875,25.3125,25.0625,25.125,8.650693893432617,302800
2000-07-31,25.25,25.75,25.1875,25.5,8.779806137084961,1341900
2000-08-01,25.5625,26.875,25.5625,26.875,9.253232955932617,792700
2000-08-02,26.875,27.125,26.5625,26.875,9.253232955932617,2607900
2000-08-03,26.75,27.1875,26.625,26.953125,9.411459922790527,2042700
2000-08-04,26.6875,27.1875,26.1875,26.9375,9.405997276306152,496400
2000-08-07,24.5,25.4375,24.375,25.390625,8.865864753723145,3627300
2000-08-08,25.25,25.375,24.5625,25.3125,8.838582038879395,1825000
2000-08-09,25.5,25.5625,24.9375,25.234375,8.81130313873291,1849400
2000-08-10,25.4375,25.5,25.0,25.140625,8.778571128845215,314900
2000-08-11,25.125,25.578125,25.125,25.578125,8.931329727172852,449000
2000-08-14,25.6875,25.6875,24.9375,25.4375,8.882227897644043,340100
2000-08-15,25.4375,25.625,25.25,25.5625,8.925881385803223,540400
2000-08-16,25.3125,25.375,25.0625,25.203125,8.800389289855957,242200
2000-08-17,25.1875,25.25,24.625,24.875,8.68581771850586,430600
2000-08-18,24.6875,24.8125,24.375,24.5,8.554876327514648,654200
2000-08-21,24.5,24.5,23.8125,23.9375,8.358453750610352,575000
2000-08-22,23.9375,24.1875,23.75,23.75,8.292987823486328,527900
2000-08-23,23.6875,23.875,23.5625,23.875,8.336639404296875,521100
2000-08-24,23.6875,23.8125,23.4375,23.4375,8.183871269226074,447900
2000-08-25,23.25,23.3125,22.9375,22.9375,8.009282112121582,385600
2000-08-28,23.1875,24.0,23.1875,23.6875,8.271167755126953,445200
2000-08-29,23.6875,23.9375,23.4375,23.75,8.292987823486328,678500
2000-08-30,23.3125,24.0625,23.3125,23.9375,8.358453750610352,702300
2000-08-31,24.0,24.765625,23.875,24.765625,8.647624015808105,1373100
2000-09-01,24.75,25.0,24.5625,24.953125,8.713093757629395,547600
2000-09-05,24.9375,25.5,24.8125,25.5,8.904050827026367,712600
2000-09-06,25.5,26.0,25.4375,25.625,8.947701454162598,1103000
2000-09-07,25.5,25.75,25.5,25.6875,8.969524383544922,448700
2000-09-08,25.6875,26.5,25.6875,26.46875,9.242321014404297,646800
2000-09-11,26.4375,27.5,26.3125,26.828125,9.367798805236816,757000
2000-09-12,26.625,27.3125,26.625,26.8125,9.362346649169922,458600
2000-09-13,27.375,27.875,27.3125,27.5,9.602411270141602,674700
2000-09-14,27.375,27.4375,26.875,27.25,9.515114784240723,785600
2000-09-15,27.625,27.75,27.4375,27.453125,9.586044311523438,1133800
2000-09-18,27.5,27.5,27.0625,27.296875,9.531484603881836,396600
2000-09-19,27.1875,27.375,26.3125,26.375,9.209582328796387,531800
2000-09-20,26.375,26.4375,25.6875,25.875,9.034993171691895,506400
2000-09-21,26.0625,26.4375,25.875,25.9375,9.056817054748535,733800
2000-09-22,26.125,26.875,26.0625,26.375,9.209582328796387,324100
2000-09-25,26.125,26.3125,25.8125,25.9375,9.056817054748535,275500
2000-09-26,25.9375,26.75,25.9375,26.5,9.2532320022583,380800
2000-09-27,26.5,26.9375,25.9375,26.828125,9.367798805236816,307200
2000-09-28,27.0,27.625,27.0,27.0,9.427821159362793,449100
2000-09-29,27.125,27.4375,26.9375,26.953125,9.411459922790527,450600
2000-10-02,27.0,27.8125,26.625,27.8125,9.711524963378906,414900
2000-10-03,27.6875,27.75,26.5,26.5,9.2532320022583,694800
2000-10-04,26.5625,26.8125,25.625,25.8125,9.013172149658203,427400
2000-10-05,25.875,26.375,25.1875,25.25,8.81675910949707,575200
2000-10-06,25.25,25.75,25.0625,25.25,8.81675910949707,585000
2000-10-09,25.4375,25.75,25.125,25.1875,8.79493236541748,302100
2000-10-10,25.25,26.125,25.1875,25.8125,9.013172149658203,586400
2000-10-11,25.6875,26.25,25.5625,25.8125,9.013172149658203,446100
2000-10-12,25.75,25.9375,25.1875,25.4375,8.882227897644043,534800
2000-10-13,25.4375,25.875,25.4375,25.625,8.947701454162598,496000
2000-10-16,25.875,26.0,25.625,25.9375,9.056817054748535,236500
2000-10-17,25.9375,26.125,25.4375,25.5625,8.925881385803223,377300
2000-10-18,25.4375,26.0,24.75,25.0,8.729463577270508,479000
2000-10-19,25.0625,25.5625,24.6875,25.3125,8.838582038879395,519500
2000-10-20,25.4375,25.8125,25.375,25.4375,8.882227897644043,362700
2000-10-23,25.5,26.0,25.3125,25.4375,8.882227897644043,354300
2000-10-24,25.6875,25.875,25.375,25.625,8.947701454162598,422700
2000-10-25,25.75,26.0,24.9375,25.125,8.77310848236084,507100
2000-10-26,25.0,25.125,24.5625,24.625,8.598518371582031,351600
2000-10-27,24.6875,25.5,24.3125,25.1875,8.79493236541748,378100
2000-10-30,25.375,26.1875,25.3125,25.9375,9.056817054748535,336500
2000-10-31,26.0,26.0,25.25,25.875,9.034993171691895,305700
2000-11-01,25.9375,26.3125,25.8125,26.0625,9.100464820861816,552100
2000-11-02,26.1875,26.375,25.8125,25.875,9.034993171691895,3415600
2000-11-03,25.75,25.875,25.0,25.125,8.902125358581543,289800
2000-11-06,25.125,25.8125,25.125,25.4375,9.012848854064941,335900
2000-11-07,25.3125,25.625,24.8125,25.25,8.946415901184082,425600
2000-11-08,25.0625,25.8125,25.0,25.5,9.034994125366211,268600
2000-11-09,25.8125,26.125,25.6875,26.0625,9.234295845031738,281400
2000-11-10,26.0625,26.3125,25.875,26.125,9.256438255310059,330400
2000-11-13,26.25,26.6875,26.1875,26.375,9.34501838684082,386400
2000-11-14,26.375,26.4375,25.9375,26.3125,9.32287311553955,495900
2000-11-15,26.3125,26.8125,26.3125,26.6875,9.455738067626953,297000
2000-11-16,26.9375,27.6875,26.8125,27.625,9.787908554077148,547000
2000-11-17,27.4375,28.0,27.375,27.9375,9.898632049560547,501800
2000-11-20,28.0,28.375,27.75,27.875,9.87649154663086,560500
2000-11-21,27.9375,27.9375,27.375,27.75,9.832199096679688,529000
